a	aa
ability	oo-bii-loo-tea
able	ei-bool
about	oo-baut
above	oo-biav
accept	aek-seept
according	oo-koa-diing
account	oo-kaunt
across	oo-kroes
act	aekt
action	aek-xoon
actions	aek-xoonz
active	aek-tiiv
activity	aek-tii-vii-tea
actually	aek-xuu-oo-lea
add	aed
address	oo-drees
adds	aedz
administration	ood-mii-noo-strei-xoon
admit	ood-miit
adult	ae-dialt
advanced	ood-vaanst
aesthetic	ees-cee-tiik
aesthetically	ees-cee-tii-koo-lea
affect	oo-feekt
afraid	oo-freid
after	aaf-too
afterthought	aef-too-coat
again	oo-geen
against	oo-geenst
age	eidj
agency	ei-djoon-sea
agent	ei-djoont
ago	oo-gou
agree	oo-grea
agreement	oo-grea-moont
ague	ei-gyue
ahead	oo-heed
air	eo
alive	oo-laiv
all	oal
allow	oo-lau
almost	oal-moust
alone	oo-loun
along	oo-loeng
already	oal-ree-dea
also	oal-sou
although	oal-cou
altogether	oal-tuu-gee-coo
always	oal-weiz
am	aem
ammunition	ae-myue-nii-xoon
among	oo-miang
amount	oo-maunt
an	aen
analysis	oo-nae-lii-siis
anarchy	ae-noo-kea
and	aend
anger	aen-goo
angle	aen-gool
angry	aen-grea
animal	ae-nii-mool
another	ae-nia-coo
answer	aan-soo
any	ee-nea
anyone	ee-nii-wian
anything	ee-nii-ciing
anytime	ee-nii-taim
apart	oo-paat
appear	oo-pio
apple	ae-pool
apply	oo-plai
appreciate	oo-prea-xea-eit
approach	oo-proutx
are	aar
area	eo-rio
argue	aa-gyue
arm	aam
army	aa-mea
around	oo-raund
arrange	oo-reindj
arrive	oo-raiv
art	aat
article	aa-tii-kool
artist	aa-tiist
as	aez
ask	aask
assorted	oo-soa-tood
assortment	oo-soat-moont
assume	oo-syuem
at	aet
atom	aa-toom
attached	oo-taetxt
attack	oo-taek
attention	oo-teen-xoon
attorney	oo-tua-nea
attract	oo-traekt
audience	oa-dea-oons
aunt	aant
author	oa-coo
authority	oa-coe-roo-tea
autumn	oa-toom
available	oo-vei-loo-bool
avoid	oo-void
away	oo-wei
awe	oa
baby	bei-bea
back	baek
bad	baed
bade	baed
bag	baeg
bags	baegz
baker	bei-koo
balance	bae-loons
baldric	boal-driik
ball	boal
band	baend
bank	baenk
bar	baa
base	beis
basic	bei-siik
basket	baa-skiit
bat	baet
bath	baac
battle	bae-tool
battlefield	bae-tool-feald
be	bea
beach	beatx
bean	bean
bear	beo
beat	beat
beautiful	byue-tii-fool
beauty	byue-tea
because	bii-koez
become	bii-kiam
becomes	boo-kiamz
bed	beed
bedroom	beed-ruem
been	bean
beer	bio
before	bii-foa
began	bii-gaen
begin	bii-giin
behave	bii-heiv
behavior	bii-hei-vyoo
behind	bii-haind
believe	bii-leav
bell	beel
below	bii-lou
beneath	bii-neac
benefit	bee-noo-fiit
benevolence	boo-nee-voo-loons
besides	boo-saidz
best	beest
better	bee-too
between	bii-twean
beyond	bea-yoend
big	biig
bill	biil
billion	bii-lyoon
bird	buad
birth	buac
birthday	buac-dei
bit	biit
bite	bait
black	blaek
blade	bleid
bladed	blei-dood
blades	bleidz
bleak	bleak
bleed	blead
block	bloek
blood	bliad
blow	blou
blowpipe	blou-paip
blue	blue
board	boad
boat	bout
body	boe-dea
boil	boil
bone	boun
book	buuk
boot	buet
boots	buets
border	boa-doo
bored	boad
born	boan
borrow	boe-rou
both	bouc
bottle	boe-tool
bottom	boe-toom
bought	boat
bow%a	bau
bow%o	bou
bowl	boul
box	boeks
boy	boi
braille	breil
branch	braantx
brass	braas
brave	breiv
bread	breed
break	breik
breakfast	breek-foost
breath	breec
breathe	breac
bred	breed
brewer	bruu-oo
bridge	briidj
bright	brait
bring	briing
brings	briingz
britain	brii-toon
broad	broad
broke	brouk
brother	bria-coo
brothers	bria-cooz
brought	broat
brown	braun
brush	briax
bubble	bia-bool
budget	bia-djiit
build	bild
building	biil-diing
burn	buan
bus	bias
bush	buux
business	biiz-niis
busy	bii-zea
but	biat
butcher	buu-txoo
buy	bai
by	bai
cake	keik
call	koal
caltrops	kael-troops
cambridge	keim-briidj
came	keim
camera	kae-moo-roo
camp	kaemp
campaign	kaem-pein
can	kaen
cancer	kaen-soo
candidate	kaen-dii-doot
candle	kaen-dool
cannot	kae-noet
cap	kaep
capital	kae-pii-tool
captain	kaep-tiin
car	kaa
card	kaad
care	keo
career	koo-riir
careful	keo-fuul
careless	keo-loos
carry	kae-rea
case	keis
cash	kaex
casual	kae-jue-ool
cat	kaet
catch	kaetx
caught	koat
cause	koaz
cave	keiv
cell	seel
cells	seelz
cent	seent
center	seen-too
centimeter	seen-tii-mea-too
central	seen-trool
century	seen-txoo-rea
ceremony	see-rii-moo-nea
certain	sua-toon
certainly	sua-toon-lea
chainmail	txein-meil
chair	txeor
challenge	txae-lloondj
chance	txaans
change	txeindj
character	kae-rook-too
charge	txaadj
chart	txaat
chase	txeis
cheap	txeap
check	txeek
checked	txeekt
cheese	txeaz
cheesewire	txeaz-wair
chew	tcue
chick	txiik
chicken	txii-kiin
chief	txeaf
child	txaild
children	txiil-droon
chill	txiil
chocolate	txoe-koo-liit
choice	txois
choir	kwai-oo
choose	txuez
chord	koad
church	txuatx
circled	sua-koold
circus	sua-koos
civil	sii-vool
clear	klio
clever	klee-voo
cloak	klouk
coat	kout
coded	kou-dood
coil	koil
cold	kould
color	kia-loo
colors	kia-looz
come	kiam
compare	koom-peo
complicated	koem-plii-kei-tood
conceived	koon-seavd
consecrate	koen-soo-kreit
consecrated	koen-soo-krei-tood
consideration	koon-sii-doo-rei-xoon
console	koen-soul
container	koon-tei-noo
continent	koen-tii-noont
conviction	koon-viik-xoon
cook	kuuk
core	koa
corked	koakt
corps	koa
corpse	koaps
could	kuud
couple	kia-pool
cow	kau
crazy	krei-zea
created	krea-ei-tood
creation	krii-ei-xoon
creature	krii-txoo
cricket	krii-kiit
crossbow	kroes-bou
cunning	kia-niing
cup	kiap
cymbal	siim-bool
dagger	dae-goo
dance	daans
dark	daak
darkened	daa-koond
darts	daats
day	dei
dead	deed
dear	dio
dearest	dio-riist
death	deec
dedicate	dee-dii-keit
dedicated	dee-dii-kei-tood
deep	deap
deer	dio
delusion	dii-lue-joon
detract	dii-traekt
devices	doo-vai-soos
devotion	dii-vou-xoon
diamond	dai-moond
did	diid
died	daid
dies	daiz
diet	dai-oot
dimension	dai-meen-xoon
dimensions	dai-meen-xoonz
dimmed	diimd
dinner	dii-noo
disappearing	dii-soo-pio-riing
dizzy	dii-zea
do	due
does	diaz
doesn't	dia-zoont
don't	dount
door	doa
down	daun
drawer	droa
dress	drees
drive	draiv
driven	drii-voon
dropped	droept
drowned	draund
dull	dial
ear	io
earth	uac
ease	eaz
eight	eit
employ	iim-ploi
endure	iin-dyuur
engaged	een-geidjd
english	iin-gliix
equal	ea-kwool
equate	ii-kweit
escape	ii-skeip
especially	ii-spee-xoo-lea
establish	ii-stae-bliix
even	ea-voon
evening	ea-voo-niing
event	ii-veent
ever	ee-voo
every	ee-vrea
everybody	ee-vrea-boe-dea
everyone	ee-vrea-wian
everything	ee-vrea-ciing
everywhere	ee-vrea-weo
